town,weighted_mean_life_expectancy,weighted_median_life_expectancy
Andover,85.2,85.2
Ansonia,76.5,77.6
Ashford,78.1,78.1
Avon,83,81.7
Barkhamsted,81.8,81.8
Berlin,80.6,80.4
Bethany,82.6,82.6
Bethel,81.3,82
Bethlehem,81.1,81.1
Bloomfield,80.1,80.2
Bolton,80.9,80.9
Bozrah,77.9,77.9
Branford,80.3,80.1
Bridgeport,77.6,78
Bridgewater,81.5,81.5
Bristol,79.3,79.2
Brookfield,81.2,80.5
Brooklyn,79.7,79.7
Burlington,82.7,83.4
Canaan,85.6,85.6
Canton,81.9,81.9
Chaplin,78.3,78.3
Cheshire,81.6,81.1
Chester,82.4,82.4
Clinton,81.1,80.1
Colchester,78.8,78.4
Colebrook,80.9,80.9
Columbia,81.9,81.9
Coventry,81.2,79.7
Cromwell,81.3,81.9
Danbury,81.4,82.1
Darien,83.4,83.3
Deep River,77.9,77.9
Derby,78.7,80.4
Durham,81.1,81.1
East Granby,83.4,83.4
East Haddam,83.3,81.5
East Hampton,82.5,82.7
East Hartford,77.7,77.9
East Haven,78.8,78.7
East Lyme,81,81.1
East Windsor,79.3,80.7
Eastford,83.5,83.5
Easton,83.4,82
Ellington,82.1,82.5
Enfield,79.3,79.7
Essex,82.1,82.1
Fairfield,82.3,82
Farmington,81.8,82.4
Franklin,78.8,78.8
Glastonbury,82.6,82.2
Goshen,82.6,82.6
Granby,81,80.8
Greenwich,84,84.1
Griswold,77.9,80.1
Groton,79.4,78.5
Guilford,83.3,83.9
Haddam,83.4,83.4
Hamden,80.1,79.6
Hampton,83.6,83.6
Hartford,77.1,77.2
Hartland,83.1,83.1
Harwinton,83.3,85.5
Hebron,84.3,82.7
Kent,81.6,81.6
Killingly,78.2,78.7
Killingworth,84.5,84.5
Lebanon,79.8,79.8
Ledyard,81.9,80.6
Lisbon,81.2,81.2
Litchfield,81,81.2
Lyme,82.3,82.3
Madison,82.6,82.8
Manchester,79.5,80
Mansfield,82.4,81.9
Marlborough,77.9,77.9
Meriden,78.7,78.7
Middlebury,85.4,85.4
Middlefield,82.2,82.2
Middletown,78.7,79.2
Milford,80.1,80.3
Monroe,81.6,81
Montville,81.6,79
Morris,78.6,78.6
Naugatuck,80,79.6
New Britain,76.6,76.3
New Canaan,85.1,85.1
New Fairfield,82.9,81.9
New Hartford,83.1,83.1
New Haven,78.1,78
New London,77.2,75.5
New Milford,81,79.4
Newington,81.1,80.8
Newtown,82.8,83.1
North Branford,80.8,81.5
North Canaan,74.4,74.4
North Haven,82.7,82.6
North Stonington,79.9,79.9
Norwalk,82.5,82.2
Norwich,77.5,77.2
Old Lyme,82.2,82.2
Old Saybrook,80.2,79.8
Orange,83.5,84
Oxford,82.1,82.3
Plainfield,79.3,78.1
Plainville,79.3,78.2
Plymouth,78.3,78.4
Portland,81.7,84.8
Preston,79,79
Prospect,81.8,80.6
Putnam,77,75.8
Redding,84.5,84.3
Ridgefield,82.8,82.2
Rocky Hill,79.7,78.9
Salem,83.7,83.7
Salisbury,79.5,79.5
Scotland,80.3,80.3
Seymour,78.4,80.7
Sharon,81.1,81.1
Shelton,81.3,81.8
Sherman,81.8,81.8
Simsbury,82.5,82.9
Somers,81.5,81.2
South Windsor,81.2,81.3
Southbury,81.5,82.4
Southington,80.6,80.1
Sprague,80.3,80.3
Stafford,79.1,79.8
Stamford,81.9,81.5
Sterling,81.6,81.6
Stonington,83.9,85.1
Stratford,79.6,79.5
Suffield,81,80.5
Thomaston,80.3,81.1
Thompson,80.7,82.1
Tolland,81.4,81.4
Torrington,77.7,79.8
Trumbull,82.4,82.3
Vernon,78.9,79
Voluntown,84.4,84.4
Wallingford,80.8,79.8
Washington,82.6,82.6
Waterbury,76.8,76.9
Waterford,79.5,80.2
Watertown,80.1,80.5
West Hartford,82.4,81.9
West Haven,77.9,78.6
Westbrook,82.4,82.4
Weston,86.5,86.8
Westport,85.4,85.5
Wethersfield,82.2,81.8
Willington,80.6,80.6
Wilton,82,81.6
Winchester,79.6,79.6
Windham,77.5,77.5
Windsor,80.1,80.5
Windsor Locks,79.1,79.5
Wolcott,79.4,79.1
Woodbridge,81.2,80.2
Woodbury,84.6,86.8
Woodstock,82.6,82.6
